order_id,tip,customer_id,payment_id,restaurant_id
197,25,280,15,232
198,44,434,10,327
199,12,147,9,99
200,33,295,22,233
201,11,483,22,454
202,23,45,24,188
203,41,259,1,401
204,5,475,16,403
205,6,392,3,478
206,38,499,20,52
207,6,384,18,373
208,48,363,7,348
209,14,188,4,190
210,36,198,11,478
211,42,401,12,79
212,36,404,17,26
213,27,353,22,104
214,47,141,24,230
215,21,194,5,102
216,43,9,18,6
217,48,93,5,190
218,8,402,15,106
219,31,1,15,381
220,34,138,21,42
221,29,398,5,137
222,2,143,6,341
223,25,238,2,176
224,22,497,8,302
225,18,463,3,174
226,14,213,23,363
227,13,39,21,225
228,28,345,1,357
229,40,355,24,273
230,2,111,11,177
231,37,101,8,484
232,36,402,10,303
233,39,97,17,208
234,42,277,14,71
235,25,63,5,97
236,7,326,17,208
237,1,74,15,49
238,38,275,12,290
239,1,214,5,307
240,17,340,19,381
241,36,166,15,288
242,46,170,12,369
243,43,154,9,403
244,40,161,15,486
245,25,452,8,125
246,31,438,11,235
247,22,294,10,180
248,5,19,11,496
249,8,23,14,192
250,28,315,17,311
251,27,156,13,447
252,21,174,4,110
253,40,199,10,49
254,40,14,9,168
255,10,403,5,93
256,3,325,19,154
257,1,284,1,136
258,10,197,25,25
259,49,232,12,210
260,12,284,2,146
261,41,408,17,470
262,15,31,18,356
263,5,18,20,314
264,39,231,7,138
265,15,128,24,489
266,17,363,14,394
267,37,232,10,272
268,18,491,20,193
269,19,478,19,233
270,7,52,5,99
271,44,118,9,306
272,11,419,7,392
273,26,288,2,59
274,40,218,15,314
275,48,87,17,114
276,10,47,22,293
277,10,8,20,35
278,45,39,15,198
279,23,342,25,66
280,9,358,13,171
281,28,121,12,298
282,37,32,16,69
283,6,299,18,268
284,5,464,24,469
285,35,301,1,177
286,46,253,6,186
287,13,282,14,314
288,24,401,4,130
289,26,44,5,425
290,12,316,24,426
291,44,205,17,358
292,50,355,20,96
293,25,307,13,319
294,38,134,11,298
295,8,322,12,125
296,33,90,18,70
297,14,366,24,112
298,25,167,19,340
299,5,133,6,419
300,7,500,6,490
301,49,33,7,256
302,37,24,25,276
303,50,174,17,127
304,37,213,17,366
305,39,304,17,43
306,1,286,22,7
307,31,292,2,387
308,18,212,2,401
309,26,314,24,160
310,24,176,22,172
311,6,44,3,338
312,16,320,6,43
313,9,449,2,472
314,36,106,13,456
315,45,19,19,378
316,48,415,21,132
317,4,394,11,187
318,45,201,6,179
319,8,193,14,360
320,46,279,9,242
321,21,476,1,352
322,45,298,8,175
323,47,443,14,52
324,44,488,13,476
325,35,434,6,191
326,27,50,16,63
327,1,380,17,45
328,49,228,18,418
329,17,439,3,459
330,17,7,24,266
331,40,177,16,487
332,15,475,11,230
333,10,173,19,216
334,40,209,11,265
335,14,308,14,252
336,10,341,6,449
337,1,469,4,139
338,5,277,1,392
339,21,144,15,80
340,12,311,3,405
341,6,456,7,252
342,43,340,15,242
343,8,88,3,146
344,48,140,4,233
345,20,352,10,181
346,19,358,16,289
347,34,383,13,314
348,11,349,17,496
349,38,263,19,328
350,10,230,18,431
351,31,154,6,89
352,19,2,21,475
353,5,81,19,344
354,10,402,17,39
355,45,50,19,324
356,22,246,16,163
357,28,115,16,415
358,18,101,19,142
359,20,73,17,424
360,41,243,19,398
361,3,412,19,145
362,4,27,11,127
363,8,314,1,356
364,10,172,1,167
365,25,17,10,221
366,11,433,21,298
367,22,218,12,473
368,34,194,3,90
369,25,415,12,336
370,7,183,21,435
371,27,221,4,359
372,17,315,20,243
373,28,441,12,221
374,37,396,4,402
375,28,186,24,111
376,36,324,19,333
377,33,75,9,446
378,30,137,23,419
379,22,458,18,492
380,9,395,13,144
381,43,106,20,240
382,41,326,8,320
383,33,189,11,107
384,47,398,7,292
385,36,410,19,370
386,20,16,1,100
387,33,28,12,196
388,1,184,9,304
389,39,368,8,119
390,1,220,20,359
391,26,164,5,285
392,35,188,2,467
393,31,290,14,299
394,1,476,19,162
395,14,243,5,237
396,33,409,17,304
397,10,431,16,199
398,11,134,7,257
399,39,293,4,98
400,14,492,21,444
401,50,85,8,244
402,30,301,23,289
403,5,155,24,102
404,47,237,12,350
405,6,223,20,310
406,48,35,8,22
407,5,240,13,402
408,6,387,18,178
409,2,295,17,431
410,37,273,2,490
411,12,379,9,32
412,14,435,4,66
413,45,63,13,188
414,44,359,5,323
415,37,281,18,424
416,25,444,4,381
417,4,169,2,463
418,15,287,20,416
419,4,91,16,322
420,8,333,2,408
421,27,257,2,500
422,9,35,20,202
423,11,344,2,265
424,39,221,17,316
425,9,58,9,72
426,21,244,20,398
427,32,252,25,330
428,25,470,5,272
429,10,432,3,315
430,12,138,6,80
431,33,438,17,408
432,35,352,15,244
433,29,68,10,36
434,39,170,7,327
435,19,90,24,192
436,31,10,6,331
437,16,175,9,180
438,14,340,6,178
439,19,316,17,259
440,47,274,10,455
441,29,7,9,402
442,23,126,13,101
443,8,145,21,448
444,22,454,8,71
445,9,167,25,134
446,34,182,13,468
447,47,29,1,334
448,32,350,25,58
449,27,451,18,482
450,12,260,22,439
451,21,96,12,105
452,25,13,20,390
453,43,403,7,342
454,50,499,22,469
455,10,226,9,460
456,2,299,5,235
457,35,141,16,146
458,43,91,3,391
459,6,442,3,275
460,30,182,25,387
461,34,210,21,379
462,26,63,7,324
463,18,410,22,295
464,27,399,14,63
465,19,52,17,137
466,19,377,22,299
467,25,219,6,53
468,32,4,19,267
469,27,272,21,445
470,27,201,1,14
471,35,300,1,470
472,36,304,21,193
473,10,209,7,499
474,31,483,5,236
475,34,247,11,217
476,10,268,7,472
477,42,266,17,212
478,14,356,25,146
479,39,440,13,331
480,2,245,1,77
481,42,325,8,248
482,40,192,21,47
483,18,430,2,328
484,19,472,15,289
485,35,427,15,233
486,34,462,10,351
487,45,96,2,134
488,26,45,17,309
489,42,426,21,490
490,45,64,4,336
491,15,340,20,175
492,47,52,7,128
493,50,53,13,247
494,26,61,14,107
495,4,460,16,75
496,39,132,9,350
497,9,388,24,208
498,15,213,15,12
499,37,161,2,328
500,27,21,25,26
501,42,438,5,367
502,9,455,17,83
503,18,308,1,139
504,1,80,11,71
505,25,7,13,360
506,44,1,2,164
507,5,232,16,126
508,27,261,12,108
509,45,115,15,482
510,6,196,10,227
511,50,17,17,427
512,39,473,10,127
513,16,490,21,457
514,9,135,10,18
515,8,64,15,409
516,44,340,20,151
517,33,197,7,378
518,6,459,12,383
519,34,433,13,3
520,40,115,13,64
521,25,124,4,253
522,40,251,3,459
523,14,271,8,151
524,37,116,20,325
525,9,186,20,283
526,29,85,6,144
527,8,169,24,407
528,7,305,22,480
529,35,343,6,424
530,45,306,22,333
531,49,364,4,106
532,3,290,11,14
533,30,363,14,49
534,7,316,24,145
535,34,203,19,41
536,28,293,2,226
537,29,131,2,77
538,38,438,13,229
539,38,214,11,455
540,50,210,14,397
541,43,412,23,28
542,38,221,8,496
543,28,146,20,151
544,8,427,9,282
545,30,233,7,40
546,44,262,19,423
547,9,138,5,89
548,39,244,24,194
549,15,312,11,469
550,8,187,3,245
551,42,88,11,141
552,14,385,17,497
553,15,477,19,322
554,13,17,22,318
555,25,155,15,230
556,31,222,7,77
557,1,49,21,9
558,10,95,15,31
559,49,208,25,325
560,40,140,4,489
561,9,473,17,5
562,7,343,17,475
563,18,17,17,113
564,11,91,8,354
565,28,365,15,384
566,34,432,11,442
567,33,302,9,388
568,15,103,15,308
569,31,258,22,313
570,12,232,13,410
571,7,410,1,127
572,4,296,22,410
573,22,447,19,381
574,41,187,9,207
575,13,3,13,94
576,50,210,7,370
577,24,206,23,259
578,22,357,19,298
579,19,493,25,188
580,14,45,17,173
581,7,408,21,215
582,35,487,15,462
583,9,397,23,90
584,48,349,19,96
585,45,174,9,178
586,41,256,20,189
587,46,143,12,341
588,8,460,18,493
589,6,118,2,409
590,32,72,6,64
591,16,104,11,257
592,23,359,21,36
593,36,140,2,181
594,19,178,16,166
595,34,418,10,47
596,31,474,16,411
597,41,391,2,59
598,16,43,13,172
599,22,375,22,161
600,18,249,24,269
601,31,340,17,295
602,12,23,22,276
603,3,286,14,391
604,13,386,15,98
605,5,330,6,378
606,19,62,7,379
607,19,241,11,153
608,7,196,23,82
609,9,440,18,48
610,41,200,16,35
611,11,343,7,326
612,48,356,14,101
613,9,407,5,394
614,41,53,18,428
615,12,256,5,421
616,5,299,24,474
617,45,251,10,203
618,11,180,15,314
619,6,397,2,273
620,35,105,20,329
621,20,366,1,404
622,33,328,13,17
623,23,183,13,252
624,34,444,7,317
625,33,57,8,232
626,25,291,2,282
627,18,111,16,433
628,25,298,9,445
629,32,185,7,360
630,32,126,25,238
631,6,340,18,390
632,39,320,4,233
633,9,4,18,358
634,5,460,10,283
635,36,465,13,432
636,15,138,25,96
637,43,401,2,63
638,10,151,1,184
639,46,234,14,349
640,34,203,7,499
641,18,92,23,25
642,1,24,18,263
643,21,252,18,180
644,20,383,15,425
645,20,162,23,412
646,2,325,6,412
647,2,249,2,185
648,22,396,18,51
649,7,476,12,355
650,40,146,15,476
651,48,143,18,165
652,43,135,13,256
653,16,340,21,330
654,1,483,12,85
655,14,256,14,452
656,12,179,12,236
657,4,69,24,128
658,21,284,7,82
659,24,388,14,339
660,1,379,1,492
661,41,360,20,281
662,37,173,25,310
663,24,383,5,267
664,32,266,3,63
665,16,362,25,285
666,23,346,18,216
667,47,285,20,144
668,4,55,13,385
669,38,381,10,106
670,33,393,7,291
671,10,320,19,278
672,24,296,20,30
673,12,133,17,179
674,18,186,19,43
675,41,301,11,372
676,46,191,8,397
677,10,406,1,363
678,31,204,18,477
679,49,166,19,31
680,32,461,8,96
681,32,477,16,447
682,13,238,4,475
683,30,161,16,63
684,37,225,8,93
685,38,237,10,368
686,43,82,12,28
687,31,355,11,155
688,34,180,14,45
689,31,360,23,181
690,33,200,23,209
691,10,108,21,228
692,34,347,2,158
693,24,183,11,79
694,36,104,3,324
695,9,204,1,274
696,10,171,7,126
697,2,287,18,190
698,15,93,25,45
699,37,64,12,247
700,32,139,11,152
701,23,186,24,476
702,33,440,8,318
703,20,466,7,64
704,37,221,8,49
705,21,332,16,123
706,29,271,4,11
707,30,175,23,235
708,9,412,7,94
709,23,147,5,66
710,27,134,23,375
711,17,81,22,358
712,24,32,18,90
713,19,237,11,261
714,34,323,6,117
715,27,455,12,208
716,35,76,1,56
717,35,304,16,318
718,33,141,19,93
719,35,24,25,222
720,31,59,21,107
721,19,65,2,150
722,32,1,24,102
723,50,180,22,455
724,20,15,1,419
725,32,481,13,483
726,1,231,10,256
727,14,93,11,429
728,19,401,20,499
729,24,383,15,291
730,43,77,7,376
731,2,198,24,432
732,17,279,1,191
733,42,409,14,14
734,32,358,1,269
735,25,300,18,340
736,45,454,17,495
737,42,3,25,13
738,4,236,2,59
739,31,478,10,161
740,46,464,16,351
741,3,74,18,318
742,34,100,20,210
743,13,388,12,348
744,14,298,20,442
745,33,110,5,261
746,46,372,22,19
747,14,59,15,5
748,9,109,9,118
749,24,307,14,285
750,25,267,15,405
751,19,491,12,477
752,43,361,21,347
753,50,134,23,330
754,11,42,22,174
755,19,36,4,56
756,10,129,16,257
757,19,225,24,356
758,28,5,8,306
759,27,462,15,102
760,5,464,20,182
761,44,459,19,208
762,25,13,2,213
763,6,486,7,410
764,4,300,23,262
765,25,435,4,347
766,11,359,3,118
767,48,104,6,2
768,2,344,10,144
769,42,166,23,39
770,12,233,3,478
771,15,345,16,213
772,46,36,16,43
773,48,121,19,255
774,42,425,17,384
775,47,28,22,248
776,7,206,15,458
777,33,26,2,107
778,21,441,1,11
779,29,351,5,368
780,8,221,17,325
781,25,67,5,163
782,27,274,25,488
783,6,120,20,380
784,8,89,13,76
785,8,258,25,165
786,47,57,1,30
787,21,493,11,459
788,13,304,10,320
789,10,146,12,83
790,48,314,12,18
791,24,132,14,280
792,37,453,6,72
793,45,441,6,235
794,1,133,15,469
795,38,237,10,83
796,19,107,1,91
797,25,396,15,71
798,50,142,2,79
799,36,157,1,220
800,45,130,7,102
801,2,2,10,224
802,45,421,16,232
803,21,128,15,101
804,1,379,11,456
805,6,172,11,388
806,41,65,1,24
807,33,256,16,20
808,14,369,23,374
809,31,468,19,168
810,6,191,25,136
811,5,50,23,481
812,38,374,22,383
813,41,103,19,301
814,35,245,3,155
815,43,84,25,303
816,26,301,12,91
817,45,222,24,314
818,7,191,2,341
819,49,101,12,233
820,37,215,13,170
821,17,171,12,136
822,18,395,2,189
823,44,339,3,253
824,31,426,11,294
825,1,228,10,480
826,32,218,4,340
827,16,253,10,232
828,10,301,9,393
829,32,23,12,176
830,14,224,2,257
831,46,94,18,117
832,9,297,9,69
833,13,149,10,331
834,9,29,1,235
835,12,169,15,490
836,42,290,19,360
837,6,308,11,197
838,49,163,14,225
839,46,161,1,215
840,31,52,2,311
841,12,361,14,71
842,17,181,10,362
843,21,248,17,47
844,9,60,2,218
845,41,25,9,481
846,41,230,15,455
847,26,201,16,240
848,14,192,3,485
849,40,51,10,246
850,41,264,6,342
851,22,231,18,272
852,22,461,1,245
853,27,32,16,387
854,9,477,8,434
855,4,348,12,94
856,40,418,22,416
857,48,263,13,437
858,26,308,24,214
859,29,257,24,187
860,34,310,21,257
861,12,408,16,173
862,29,407,20,207
863,34,368,13,306
864,13,116,15,46
865,31,457,24,99
866,27,391,19,285
867,2,110,11,206
868,38,441,25,368
869,13,258,14,17
870,30,87,13,406
871,9,187,1,2
872,49,467,9,46
873,27,129,18,334
874,50,283,17,402
875,38,153,25,338
876,24,335,5,476
877,39,435,10,330
878,31,13,1,18
879,39,482,1,203
880,24,489,13,476
881,37,108,19,299
882,44,491,6,72
883,48,225,12,222
884,3,362,19,484
885,19,19,21,212
886,45,467,15,479
887,20,333,18,108
888,36,67,17,258
889,45,274,3,94
890,6,325,14,485
891,22,66,16,343
892,37,428,25,366
893,13,383,4,386
894,23,431,5,256
895,46,335,17,300
896,6,104,20,430
897,23,466,14,355
898,4,202,8,278
899,6,435,22,45
900,8,17,25,445
901,13,57,24,481
902,38,232,5,88
903,19,441,10,155
904,32,396,7,415
905,45,283,25,78
906,25,67,13,375
907,11,322,22,339
908,10,161,11,193
909,29,162,10,427
910,24,330,2,128
911,12,233,16,425
912,45,345,6,479
913,35,293,24,120
914,35,237,21,26
915,36,193,19,20
916,19,299,15,69
917,38,238,19,430
918,35,131,3,355
919,3,368,23,318
920,17,410,19,26
921,43,73,3,94
922,21,256,5,286
923,2,374,16,131
924,39,64,18,33
925,10,345,16,467
926,16,160,5,214
927,41,139,18,189
928,13,161,6,72
929,23,386,9,253
930,41,159,25,146
931,34,310,13,112
932,38,290,12,304
933,26,152,19,245
934,27,468,12,360
935,44,194,24,121
936,21,412,23,466
937,39,393,20,123
938,44,68,7,430
939,46,150,3,303
940,45,379,5,389
941,17,309,18,270
942,3,489,1,203
943,5,162,23,292
944,13,67,15,282
945,14,203,14,48
946,25,478,11,168
947,17,392,22,445
948,13,34,12,113
949,50,440,2,337
950,43,325,25,163
951,16,156,23,8
952,38,381,8,139
953,44,336,5,108
954,44,486,25,428
955,33,410,21,335
956,4,296,5,173
957,30,16,23,454
958,26,202,2,89
959,44,437,14,401
960,32,443,16,119
961,47,352,21,50
962,18,353,12,76
963,1,272,20,59
964,26,486,2,52
965,10,461,2,249
966,10,55,18,361
967,33,123,19,302
968,28,38,10,163
969,27,447,21,129
970,45,282,13,270
971,47,195,10,467
972,16,313,17,192
973,6,260,17,402
974,18,458,7,376
975,31,340,8,390
976,48,489,6,299
977,22,356,7,492
978,27,121,25,253
979,15,181,1,321
980,47,363,14,111
981,31,437,6,77
982,5,23,7,74
983,2,297,15,309
984,5,202,12,18
985,4,37,12,328
986,26,310,13,328
987,38,56,19,19
988,19,198,7,47
989,43,185,24,59
990,13,263,4,231
991,18,360,18,129
992,43,107,9,159
993,7,438,21,298
994,11,148,4,323
995,40,29,3,296
996,10,6,17,207
997,49,107,17,77
998,6,392,11,492
999,28,315,22,75
1000,30,40,10,458
