schedule_id,date_created,end_time,other_details,start_time,person_id
35,6/17/2002,8:36 AM,Ardea golieth,9:21 AM,119
36,3/11/2012,3:40 PM,Macropus eugenii,11:35 PM,95
37,3/9/2005,7:51 PM,Canis aureus,6:35 PM,19
38,9/10/2004,9:37 AM,Uraeginthus granatina,8:20 AM,62
39,12/27/2018,3:55 PM,Lophoaetus occipitalis,8:12 PM,79
40,9/19/2002,11:32 AM,Phascolarctos cinereus,1:49 PM,227
41,8/12/2010,5:43 PM,Nycticorax nycticorax,8:32 AM,171
42,7/19/2017,2:59 AM,Manouria emys,1:17 PM,28
43,1/21/2019,5:05 AM,Milvago chimachima,1:17 AM,268
44,8/10/2016,10:59 AM,Ratufa indica,9:05 PM,202
45,5/18/2016,9:47 AM,Naja nivea,1:22 AM,49
46,7/23/2015,8:47 AM,Haliaeetus leucoryphus,3:31 PM,4
47,11/17/2006,3:11 PM,Tockus erythrorhyncus,9:16 PM,242
48,8/25/2002,10:23 AM,Hymenolaimus malacorhynchus,5:07 AM,198
49,8/7/2010,6:20 PM,Hippotragus niger,1:47 PM,51
50,12/27/2007,7:11 AM,Crotalus cerastes,9:54 PM,253
51,11/20/2002,9:48 PM,Canis aureus,6:59 AM,184
52,10/25/2015,5:28 AM,Upupa epops,12:23 AM,237
53,12/30/2018,10:14 PM,Tayassu pecari,7:40 AM,32
54,9/19/2008,8:27 PM,Marmota flaviventris,5:42 AM,259
55,5/22/2017,2:00 PM,Felis concolor,9:46 PM,83
56,6/1/2017,9:45 PM,Stercorarius longicausus,4:15 PM,191
57,8/13/2002,2:10 PM,Eolophus roseicapillus,6:09 PM,161
58,9/8/2009,8:14 PM,Macropus fuliginosus,1:38 AM,267
59,5/12/2019,2:54 AM,Choloepus hoffmani,12:00 AM,132
60,8/18/2005,8:56 PM,Bubalornis niger,5:43 AM,47
61,1/14/2017,7:09 AM,Bubalus arnee,10:26 PM,49
62,5/23/2004,6:49 AM,Cacatua tenuirostris,3:32 PM,96
63,12/5/2008,2:26 AM,Damaliscus lunatus,3:18 PM,122
64,9/1/2017,2:51 AM,Chauna torquata,6:50 AM,125
65,1/29/2002,7:09 AM,Dasypus novemcinctus,5:47 AM,64
66,10/17/2006,1:22 PM,Lepus townsendii,8:29 PM,124
67,1/30/2004,3:08 PM,Cynictis penicillata,7:25 PM,257
68,7/30/2015,10:00 AM,Sus scrofa,7:31 PM,148
69,11/28/2007,4:00 AM,Phoca vitulina,3:14 AM,257
70,2/27/2014,12:09 AM,Upupa epops,5:58 PM,112
71,4/21/2012,8:26 AM,Macropus fuliginosus,5:50 AM,164
72,12/24/2020,5:25 PM,Uraeginthus granatina,7:35 PM,257
73,11/5/2005,12:01 AM,Turtur chalcospilos,9:43 AM,10
74,10/30/2018,12:08 PM,Picoides pubescens,3:22 AM,86
75,8/10/2005,1:45 AM,Colobus guerza,12:53 PM,99
76,11/9/2016,3:20 AM,Recurvirostra avosetta,6:57 AM,181
77,2/14/2019,8:05 AM,Deroptyus accipitrinus,12:11 AM,28
78,11/15/2002,5:16 PM,Oxybelis fulgidus,7:58 PM,152
79,2/4/2015,1:17 AM,Tockus flavirostris,9:54 AM,254
80,2/29/2012,5:21 PM,Hystrix cristata,6:49 AM,226
81,3/8/2020,6:18 PM,Marmota caligata,8:06 PM,295
82,6/5/2004,12:58 PM,Lasiodora parahybana,4:38 AM,265
83,9/23/2005,7:08 PM,Phoca vitulina,4:30 PM,175
84,4/4/2018,1:05 AM,Anhinga rufa,6:14 PM,58
85,10/8/2015,11:18 AM,Phalaropus fulicarius,9:50 PM,263
86,2/17/2011,1:46 PM,Mirounga angustirostris,2:40 PM,140
87,12/21/2004,9:05 AM,Anastomus oscitans,2:48 AM,181
88,11/15/2003,2:05 AM,Anastomus oscitans,11:12 PM,62
89,6/12/2003,12:07 AM,Tiliqua scincoides,11:12 AM,146
90,7/15/2015,6:25 PM,Ovis dalli stonei,6:42 PM,28
91,5/5/2009,6:45 AM,Cebus apella,9:25 PM,132
92,9/17/2007,10:50 AM,Sus scrofa,2:47 PM,47
93,12/13/2010,9:01 AM,Acridotheres tristis,10:08 AM,87
94,10/18/2006,5:13 PM,Colobus guerza,9:48 PM,29
95,8/22/2013,2:04 PM,Aonyx capensis,6:02 AM,141
96,11/1/2005,3:13 AM,Ramphastos tucanus,3:02 PM,203
97,10/21/2016,3:45 AM,Macropus rufus,10:20 PM,149
98,2/23/2014,10:32 AM,Phoenicopterus ruber,1:47 PM,229
99,7/25/2011,9:39 AM,Choloepus hoffmani,3:31 AM,50
100,9/16/2012,1:34 PM,Anas platyrhynchos,4:14 PM,128
101,12/4/2004,7:04 PM,Plocepasser mahali,2:52 AM,157
102,5/30/2007,11:41 AM,Helogale undulata,11:43 AM,215
103,10/29/2017,5:27 PM,Ardea golieth,10:32 PM,297
104,3/1/2018,8:03 PM,Choloepus hoffmani,1:44 AM,253
105,11/3/2012,4:08 AM,Erethizon dorsatum,1:01 PM,67
106,9/7/2006,3:21 AM,Macropus fuliginosus,11:59 AM,35
107,2/13/2003,9:38 AM,Plectopterus gambensis,6:43 AM,164
108,9/10/2003,11:24 AM,Grus antigone,12:35 PM,78
109,3/16/2017,2:18 PM,Turtur chalcospilos,3:37 PM,47
110,4/11/2005,8:33 PM,Ammospermophilus nelsoni,10:37 AM,48
111,9/9/2019,6:23 PM,Perameles nasuta,3:45 PM,278
112,10/5/2004,5:36 PM,Tiliqua scincoides,10:20 PM,236
113,8/21/2017,9:21 PM,Felis silvestris lybica,12:41 AM,223
114,2/12/2017,8:37 PM,Macropus fuliginosus,12:07 AM,226
115,1/21/2012,2:06 PM,Lamprotornis nitens,8:11 PM,18
116,4/1/2010,6:41 AM,Phalaropus lobatus,11:34 PM,299
117,1/29/2003,9:26 AM,Corythornis cristata,4:20 PM,100
118,11/14/2014,4:10 PM,Tachybaptus ruficollis,9:42 PM,15
119,10/17/2007,11:35 PM,Funambulus pennati,11:21 PM,234
120,6/28/2012,2:44 PM,Platalea leucordia,6:56 AM,32
121,4/11/2018,11:26 PM,Cebus apella,6:40 PM,142
122,5/15/2018,6:17 PM,Bradypus tridactylus,4:39 AM,245
123,10/12/2008,8:00 AM,Coluber constrictor,7:07 AM,205
124,4/3/2017,12:31 AM,unavailable,3:12 PM,241
125,6/23/2008,2:43 AM,Bison bison,5:55 PM,277
126,5/31/2002,11:29 AM,Crotalus cerastes,12:37 AM,49
127,4/28/2011,9:47 PM,Anastomus oscitans,6:23 AM,175
128,7/7/2003,4:32 PM,Myotis lucifugus,11:36 AM,167
129,2/18/2019,12:12 PM,Capra ibex,10:30 PM,202
130,2/25/2017,11:53 PM,Alligator mississippiensis,11:31 PM,187
131,12/15/2015,3:24 PM,Paraxerus cepapi,6:07 PM,181
132,6/18/2007,7:10 AM,Cacatua galerita,4:24 PM,107
133,1/20/2021,2:45 PM,Pavo cristatus,2:53 PM,247
134,8/31/2015,10:01 AM,Centrocercus urophasianus,5:04 PM,126
135,3/22/2021,3:20 PM,Kobus leche robertsi,1:23 AM,32
136,12/10/2013,1:13 AM,Sarcophilus harrisii,4:51 AM,243
137,7/1/2010,10:10 PM,Tamiasciurus hudsonicus,4:07 AM,223
138,11/19/2006,8:34 AM,Bos taurus,1:29 PM,117
139,12/18/2008,5:48 PM,Naja haje,3:02 AM,26
140,3/22/2011,10:06 PM,Choriotis kori,9:02 PM,115
141,8/27/2020,4:18 AM,Ratufa indica,8:11 PM,199
142,10/13/2012,11:17 AM,Chauna torquata,3:01 AM,248
143,4/10/2011,8:17 PM,Dasypus novemcinctus,2:45 AM,106
144,3/25/2017,1:11 AM,Spermophilus richardsonii,4:28 PM,78
145,9/15/2008,9:47 PM,Sagittarius serpentarius,3:11 PM,112
146,3/11/2018,11:52 PM,Ploceus rubiginosus,3:12 PM,39
147,8/5/2014,11:48 AM,Aegypius tracheliotus,2:46 PM,256
148,6/4/2005,4:30 PM,Perameles nasuta,2:04 AM,113
149,9/18/2017,2:09 PM,Genetta genetta,12:42 AM,12
150,8/27/2019,11:33 PM,Corvus albicollis,1:47 AM,52
151,9/14/2014,7:01 PM,Zenaida asiatica,3:06 PM,151
152,5/2/2013,9:03 AM,Corvus brachyrhynchos,12:46 PM,300
153,6/7/2015,11:19 PM,Tauraco porphyrelophus,2:10 AM,94
154,7/1/2017,1:03 PM,Lorythaixoides concolor,1:24 AM,157
155,7/29/2018,1:44 PM,Pteronura brasiliensis,7:55 PM,21
156,8/30/2002,9:47 PM,Junonia genoveua,4:04 AM,47
157,9/11/2009,9:35 AM,Tockus flavirostris,3:22 AM,108
158,6/8/2017,2:56 AM,Meles meles,11:24 AM,292
159,4/8/2006,11:46 PM,Butorides striatus,1:03 PM,257
160,2/7/2007,7:38 AM,Spizaetus coronatus,5:40 AM,135
161,3/6/2007,10:44 PM,Snycerus caffer,12:56 AM,143
162,1/12/2015,8:52 PM,Dendrohyrax brucel,4:22 PM,224
163,6/18/2013,7:04 AM,Genetta genetta,1:27 PM,221
164,10/11/2002,12:38 AM,Anas punctata,6:38 PM,54
165,5/9/2010,9:14 AM,Stercorarius longicausus,6:34 PM,87
166,3/28/2011,2:01 AM,Hyaena hyaena,10:25 AM,261
167,10/13/2016,10:16 PM,Tachybaptus ruficollis,2:51 PM,233
168,11/30/2014,5:52 AM,Thalasseus maximus,12:32 AM,145
169,3/30/2020,12:05 AM,Phoenicopterus ruber,6:51 AM,64
170,12/29/2019,5:29 PM,Myotis lucifugus,4:12 PM,74
171,5/5/2016,9:14 PM,Pelecans onocratalus,11:37 PM,3
172,3/4/2009,8:32 PM,Lophoaetus occipitalis,4:57 PM,112
173,12/24/2019,11:09 AM,Bassariscus astutus,7:55 PM,110
174,3/19/2014,2:41 AM,Phalacrocorax carbo,9:01 PM,262
175,6/4/2015,9:25 AM,Ictonyx striatus,4:08 PM,221
176,10/5/2007,2:06 PM,Speothos vanaticus,2:43 PM,284
177,7/7/2017,5:02 AM,Felis caracal,12:08 PM,211
178,8/18/2017,7:38 PM,Lophoaetus occipitalis,12:48 PM,219
179,3/3/2011,7:19 AM,Paroaria gularis,2:42 PM,184
180,5/3/2005,1:11 PM,Tiliqua scincoides,6:26 PM,97
181,5/12/2007,8:51 AM,Macropus rufogriseus,8:01 AM,277
182,10/8/2010,2:34 PM,Cynictis penicillata,10:43 PM,174
183,2/17/2012,10:43 PM,Semnopithecus entellus,10:50 PM,227
184,3/8/2012,10:48 PM,Trachyphonus vaillantii,10:39 PM,123
185,12/5/2013,1:37 PM,Nyctanassa violacea,7:10 PM,218
186,3/11/2004,11:37 PM,Butorides striatus,1:57 PM,42
187,9/11/2017,7:58 PM,Canis mesomelas,8:42 PM,212
188,12/26/2003,6:03 PM,Centrocercus urophasianus,5:36 AM,15
189,2/4/2010,2:04 PM,Cacatua tenuirostris,1:53 AM,143
190,3/13/2019,7:27 AM,Haematopus ater,1:24 AM,166
191,10/29/2016,11:06 PM,Actophilornis africanus,3:55 PM,183
192,11/6/2017,5:30 PM,Cordylus giganteus,12:57 AM,14
193,9/26/2003,12:49 AM,Potamochoerus porcus,5:29 AM,38
194,2/9/2009,11:08 AM,Nycticorax nycticorax,1:32 AM,299
195,3/8/2014,7:18 PM,Alopex lagopus,12:11 PM,276
196,7/16/2003,3:45 PM,Creagrus furcatus,2:04 PM,177
197,2/17/2019,2:16 PM,Mazama gouazoubira,6:33 AM,172
198,3/26/2018,12:48 AM,Phascogale calura,7:56 PM,135
199,6/8/2012,9:00 PM,Alopex lagopus,8:43 AM,245
200,4/1/2018,5:10 AM,Tadorna tadorna,12:33 PM,261
201,9/23/2014,2:15 PM,Dendrocitta vagabunda,1:53 AM,58
202,1/25/2004,7:22 AM,Uraeginthus granatina,10:43 PM,191
203,10/26/2012,10:55 PM,Acrobates pygmaeus,12:31 PM,221
204,12/4/2005,11:07 PM,Suricata suricatta,12:31 PM,124
205,2/3/2021,3:33 PM,Haliaetus leucogaster,5:55 AM,275
206,10/31/2002,3:24 AM,Rhea americana,5:51 PM,42
207,12/25/2003,3:19 AM,Colobus guerza,12:40 AM,22
208,11/22/2007,7:47 AM,Ciconia episcopus,11:28 AM,288
209,7/20/2017,4:00 AM,Castor fiber,5:34 PM,77
210,9/4/2016,5:18 PM,Raphicerus campestris,12:31 PM,156
211,12/5/2013,8:19 AM,Potos flavus,12:37 PM,53
212,4/17/2010,12:42 AM,Genetta genetta,7:45 PM,279
213,5/14/2002,12:11 PM,Suricata suricatta,10:47 PM,141
214,3/17/2002,2:24 AM,Trichosurus vulpecula,11:36 PM,65
215,3/2/2002,12:09 AM,Geochelone elephantopus,3:24 PM,170
216,10/25/2003,2:27 PM,Leprocaulinus vipera,6:42 AM,186
217,5/9/2016,2:40 AM,Paraxerus cepapi,6:53 AM,48
218,8/24/2011,2:40 AM,Climacteris melanura,3:27 PM,81
219,4/29/2019,4:55 AM,Anthropoides paradisea,6:40 AM,5
220,7/31/2009,4:21 PM,Varanus sp.,4:56 AM,1
221,11/8/2019,5:11 PM,Lepus arcticus,10:28 PM,143
222,12/29/2015,2:38 PM,Papilio canadensis,7:22 AM,69
223,9/25/2017,4:19 AM,Irania gutteralis,5:04 PM,59
224,10/6/2017,10:42 PM,Stercorarius longicausus,10:48 AM,73
225,4/27/2003,7:25 PM,Myotis lucifugus,2:32 AM,190
226,1/25/2011,7:35 PM,Gymnorhina tibicen,11:17 PM,38
227,8/14/2011,2:42 PM,Dipodomys deserti,12:43 PM,22
228,4/5/2003,2:16 PM,Pycnonotus nigricans,11:27 AM,58
229,2/8/2021,5:17 AM,Hymenolaimus malacorhynchus,6:08 AM,207
230,2/16/2020,11:10 PM,Crotaphytus collaris,6:37 AM,125
231,7/18/2011,4:00 PM,Mellivora capensis,3:49 PM,90
232,11/29/2004,8:10 PM,Lasiorhinus latifrons,9:25 PM,22
233,7/8/2005,12:07 PM,Varanus salvator,5:00 PM,122
234,7/3/2017,3:33 AM,Agelaius phoeniceus,10:29 PM,210
235,3/25/2015,4:39 PM,Colobus guerza,12:31 PM,46
236,8/9/2010,11:36 PM,Anas bahamensis,8:38 AM,55
237,12/25/2012,6:11 PM,Uraeginthus bengalus,3:38 PM,17
238,7/27/2005,1:56 PM,Felis silvestris lybica,9:00 PM,170
239,1/22/2021,11:57 PM,Limnocorax flavirostra,1:56 AM,160
240,5/25/2007,10:30 PM,Tadorna tadorna,10:48 PM,62
241,7/7/2003,5:29 AM,Phascogale tapoatafa,7:33 AM,154
242,11/17/2019,2:24 AM,Giraffe camelopardalis,1:01 AM,140
243,6/24/2002,6:36 AM,Papio cynocephalus,1:19 PM,136
244,2/28/2002,6:57 PM,Tayassu pecari,2:28 PM,233
245,1/26/2004,7:08 PM,Sagittarius serpentarius,3:58 PM,14
246,12/5/2002,11:55 AM,Canis aureus,12:34 PM,248
247,2/17/2004,10:13 AM,Ctenophorus ornatus,4:27 AM,3
248,4/22/2002,6:10 AM,Vicugna vicugna,5:00 PM,119
249,11/24/2018,3:16 AM,Dasypus novemcinctus,2:59 PM,230
250,12/15/2017,4:07 PM,Ardea cinerea,4:38 AM,63
251,8/17/2005,7:08 PM,Xerus sp.,1:46 AM,84
252,2/14/2018,3:56 PM,Panthera leo,7:17 PM,64
253,4/17/2004,2:44 AM,Ardea cinerea,5:57 PM,113
254,12/3/2003,2:11 PM,Colaptes campestroides,4:10 AM,156
255,2/3/2010,8:46 PM,Sarkidornis melanotos,7:14 PM,195
256,9/7/2019,3:00 AM,Morelia spilotes variegata,7:54 PM,148
257,1/19/2009,5:51 AM,Funambulus pennati,2:25 AM,117
258,11/17/2003,7:30 AM,Melophus lathami,3:52 PM,177
259,12/17/2014,8:53 AM,Corallus hortulanus cooki,10:47 PM,166
260,5/28/2013,4:57 PM,Ardea golieth,2:39 AM,261
261,4/5/2007,11:56 PM,Lepilemur rufescens,6:36 PM,277
262,9/2/2008,11:50 PM,Callipepla gambelii,2:56 AM,63
263,8/30/2017,1:26 AM,Procyon lotor,9:39 AM,266
264,6/10/2018,8:27 AM,Cordylus giganteus,11:06 AM,175
265,12/18/2010,3:01 PM,Ciconia ciconia,8:40 AM,92
266,7/4/2019,12:08 AM,Parus atricapillus,4:01 AM,246
267,3/9/2017,10:47 PM,Macaca fuscata,10:20 PM,14
268,6/17/2009,9:35 PM,Canis dingo,4:10 PM,143
269,8/14/2011,7:18 AM,Chelodina longicollis,5:36 PM,211
270,11/26/2010,9:55 PM,Mephitis mephitis,1:38 AM,230
271,4/5/2015,11:52 PM,Chionis alba,4:00 AM,191
272,3/14/2021,7:02 AM,Phalacrocorax niger,9:49 PM,69
273,10/10/2007,12:07 AM,Rangifer tarandus,1:38 PM,299
274,2/15/2006,9:40 AM,Crocuta crocuta,2:55 PM,299
275,9/25/2018,12:40 PM,Equus burchelli,3:33 PM,187
276,8/19/2019,6:39 PM,Varanus salvator,11:59 AM,133
277,10/15/2008,7:43 PM,Hystrix cristata,11:47 AM,245
278,3/10/2003,12:11 PM,Corythornis cristata,5:10 PM,52
279,11/22/2004,7:29 PM,Haematopus ater,7:36 PM,153
280,9/14/2004,4:43 PM,Alopex lagopus,2:22 AM,115
281,4/5/2009,2:08 AM,Pseudalopex gymnocercus,6:42 AM,272
282,11/28/2003,10:24 AM,Trichoglossus chlorolepidotus,4:06 AM,72
283,9/10/2019,11:39 AM,unavailable,4:23 AM,176
284,4/10/2010,5:44 AM,Sarcophilus harrisii,9:13 PM,130
285,5/30/2014,3:26 PM,Casmerodius albus,2:56 PM,260
286,1/24/2011,8:53 PM,Anas punctata,6:40 AM,51
287,3/25/2010,12:18 PM,Pavo cristatus,5:55 AM,85
288,4/5/2016,12:42 AM,Litrocranius walleri,7:57 AM,204
289,4/12/2003,6:08 AM,Dusicyon thous,10:22 AM,17
290,2/14/2010,9:07 AM,Spermophilus tridecemlineatus,12:36 AM,197
291,4/4/2013,5:04 AM,Francolinus coqui,6:39 PM,277
292,2/25/2019,12:08 PM,Bassariscus astutus,10:56 PM,280
293,1/14/2019,1:29 AM,Dasypus septemcincus,1:44 PM,266
294,8/13/2011,3:57 PM,Neophron percnopterus,10:58 PM,287
295,9/19/2012,3:04 AM,Diomedea irrorata,5:06 AM,11
296,8/4/2005,2:37 PM,Limnocorax flavirostra,4:12 PM,289
297,7/11/2009,10:53 AM,Coendou prehensilis,6:43 AM,44
298,10/27/2017,10:08 PM,Cathartes aura,7:01 AM,228
299,4/9/2015,4:42 PM,Dusicyon thous,7:31 PM,254
300,5/18/2020,9:44 AM,Larus dominicanus,10:05 PM,163
301,4/30/2008,4:51 PM,Ciconia ciconia,10:21 AM,141
302,8/28/2014,4:44 AM,Aquila chrysaetos,5:22 AM,260
303,2/27/2006,1:31 PM,Hyaena brunnea,9:31 AM,21
304,12/8/2004,7:35 PM,Numida meleagris,9:54 AM,221
305,10/8/2018,11:32 AM,Streptopelia senegalensis,4:01 AM,69
306,7/20/2016,10:02 AM,Columba livia,1:07 AM,44
307,4/30/2016,6:13 PM,Lemur catta,8:46 PM,90
308,7/1/2013,5:55 PM,Platalea leucordia,9:05 AM,168
309,10/30/2019,5:26 PM,Proteles cristatus,2:42 AM,9
310,8/27/2005,1:08 PM,Marmota flaviventris,12:36 AM,138
311,12/25/2019,11:10 PM,Turtur chalcospilos,6:25 AM,239
312,7/30/2005,6:31 PM,Phoenicopterus chilensis,1:58 AM,129
313,2/11/2012,10:29 PM,Acridotheres tristis,11:50 AM,228
314,12/11/2018,11:48 AM,Prionace glauca,10:54 AM,15
315,9/12/2015,8:07 PM,Chionis alba,12:25 PM,83
316,1/18/2009,4:16 AM,Zosterops pallidus,5:50 AM,286
317,10/26/2010,3:58 AM,Gyps bengalensis,4:21 AM,187
318,7/23/2013,4:03 PM,Castor fiber,9:09 AM,125
319,1/26/2010,6:25 PM,Pseudoleistes virescens,4:22 AM,236
320,5/16/2010,7:06 PM,Procyon cancrivorus,9:54 PM,142
321,5/11/2019,9:21 PM,Spizaetus coronatus,10:24 PM,163
322,9/12/2004,3:08 PM,Phalacrocorax varius,4:55 AM,215
323,1/23/2002,7:11 PM,Tayassu pecari,11:15 AM,169
324,11/24/2006,3:01 PM,Bucorvus leadbeateri,4:07 AM,30
325,2/3/2017,9:32 AM,Lepus arcticus,9:08 PM,122
326,4/7/2009,6:02 PM,Callipepla gambelii,12:36 PM,107
327,2/7/2014,7:30 PM,Axis axis,6:38 PM,146
328,7/29/2003,6:15 AM,Mycteria ibis,7:37 AM,65
329,7/14/2017,8:12 AM,Haliaeetus leucocephalus,5:02 PM,230
330,2/5/2013,1:46 AM,Eumetopias jubatus,6:46 PM,300
331,6/21/2012,3:55 AM,Drymarchon corias couperi,4:25 AM,59
332,6/15/2018,3:41 AM,Madoqua kirkii,2:43 AM,98
333,3/28/2008,2:19 PM,Tapirus terrestris,7:45 AM,186
334,5/13/2010,3:07 PM,Ara macao,4:04 AM,163
335,10/3/2011,12:34 PM,Graspus graspus,7:03 PM,69
336,3/28/2011,3:08 PM,Uraeginthus angolensis,9:55 AM,293
337,5/4/2014,11:08 PM,Zenaida asiatica,7:01 AM,180
338,9/4/2014,12:59 AM,Bubalus arnee,1:32 AM,284
339,12/9/2011,3:40 AM,Funambulus pennati,8:32 PM,125
340,2/25/2014,11:18 PM,Procyon lotor,1:00 AM,288
341,12/23/2012,5:20 PM,Phalaropus lobatus,10:53 AM,148
342,5/26/2008,4:53 AM,Libellula quadrimaculata,5:30 AM,195
343,7/12/2017,4:15 AM,Potorous tridactylus,1:11 AM,234
344,2/2/2003,3:50 AM,Globicephala melas,5:43 AM,283
345,4/4/2003,12:49 PM,Falco peregrinus,11:53 AM,16
346,5/12/2007,1:06 PM,Phalacrocorax carbo,9:36 AM,294
347,10/22/2007,12:27 AM,Larus dominicanus,6:29 AM,11
348,11/3/2018,12:28 AM,Canis lupus lycaon,3:26 AM,52
349,3/4/2006,11:04 PM,Salvadora hexalepis,5:26 PM,271
350,6/24/2012,6:13 AM,Tockus erythrorhyncus,3:05 PM,259
351,6/4/2019,1:30 PM,Sciurus vulgaris,6:49 PM,278
352,5/29/2003,1:20 PM,Aegypius tracheliotus,5:20 PM,165
353,5/23/2003,8:31 PM,unavailable,7:15 PM,124
354,7/10/2006,12:10 PM,Tockus flavirostris,7:09 PM,296
355,3/23/2017,5:29 AM,Butorides striatus,7:41 PM,146
356,3/27/2008,10:32 AM,Vombatus ursinus,11:13 AM,93
357,2/27/2006,2:15 PM,Phascogale calura,8:03 PM,126
358,2/22/2015,2:56 PM,Sagittarius serpentarius,1:41 PM,250
359,11/25/2008,8:13 AM,Ovis orientalis,7:57 PM,76
360,6/6/2015,6:27 PM,Alces alces,12:18 PM,98
361,4/7/2013,7:14 PM,Varanus albigularis,2:58 PM,137
362,10/17/2004,6:16 AM,Varanus sp.,3:31 AM,239
363,10/22/2006,5:48 AM,Ninox superciliaris,10:16 AM,64
364,9/27/2011,6:39 PM,Tragelaphus angasi,4:57 AM,119
365,7/9/2013,2:20 PM,Oncorhynchus nerka,12:12 AM,29
366,1/11/2018,7:16 AM,Trichosurus vulpecula,4:28 AM,79
367,4/14/2020,11:28 AM,Certotrichas paena,3:28 PM,183
368,8/8/2008,4:27 PM,Spizaetus coronatus,8:52 PM,293
369,3/5/2008,3:05 PM,Varanus salvator,5:46 PM,8
370,9/30/2018,10:01 PM,Ramphastos tucanus,4:02 AM,260
371,4/10/2020,11:34 AM,Crotalus adamanteus,11:34 PM,284
372,2/15/2016,8:25 AM,Macropus rufus,8:45 PM,115
373,9/1/2005,2:42 PM,Tachybaptus ruficollis,1:22 PM,194
374,7/22/2020,8:48 PM,Dipodomys deserti,5:25 AM,223
375,7/31/2015,3:06 PM,Nectarinia chalybea,1:19 PM,257
376,12/23/2007,1:11 PM,Lycosa godeffroyi,7:31 PM,188
377,10/29/2004,5:12 AM,Milvago chimachima,1:31 AM,231
378,12/29/2016,9:52 PM,Hydrochoerus hydrochaeris,1:22 AM,96
379,8/27/2007,3:38 PM,Cathartes aura,8:16 PM,26
380,2/15/2007,4:48 PM,Cochlearius cochlearius,5:16 PM,145
381,6/20/2020,10:53 AM,Theropithecus gelada,8:35 PM,161
382,5/22/2002,3:39 AM,Buteo galapagoensis,3:15 AM,181
383,9/14/2009,3:36 PM,Fulica cristata,10:39 AM,115
384,8/19/2006,4:28 AM,Canis aureus,4:00 PM,250
385,8/31/2002,9:17 AM,Sarkidornis melanotos,9:52 PM,97
386,5/5/2014,4:50 PM,Potos flavus,6:32 AM,91
387,9/3/2020,4:05 AM,Cebus albifrons,10:33 PM,113
388,10/15/2017,4:53 PM,Geochelone elephantopus,9:41 AM,79
389,7/21/2010,11:17 PM,Ovis canadensis,10:43 AM,248
390,1/11/2020,7:24 PM,Ovis musimon,3:01 AM,195
391,11/2/2008,4:36 PM,Ictonyx striatus,7:27 AM,201
392,10/13/2005,1:20 AM,Sylvicapra grimma,10:35 PM,89
393,1/26/2007,11:00 AM,Mellivora capensis,1:48 PM,67
394,11/10/2016,2:40 PM,Coracias caudata,8:04 PM,153
395,10/8/2019,6:09 AM,Funambulus pennati,1:53 PM,254
396,9/2/2010,11:04 AM,Aonyx cinerea,7:49 AM,103
397,5/8/2010,5:36 AM,Manouria emys,8:09 AM,17
398,7/15/2003,4:04 PM,Isoodon obesulus,7:24 PM,114
